rank,name,handle,group,role,followers,following,connections,in_degree,out_degree,cross_follow_count,cross_follow_ratio,posts_count,comments_count,likes_count,reposts_count,association_weight,association_weight_norm,semantic_ai,pagerank,grey_relation,quanzhong_score,location,website,joinedDate,verified
187,Rohan Pandey,khoomeik,company,OpenAI,40575,2611,21,5,16,1,0.0625,0,0,0,0,1.222975,0.058516,0.25,0.00168054,0.372052,0.293668,"San Francisco, CA",https://rpandey.tech,Feb 2020,
188,Stuart Ritchie,StuartJRitchie,founder,Research Comms @AnthropicAI,36492,1186,5,3,2,1,0.5,0,0,0,0,0.885647,0.042107,0.125,0.00237319,0.376947,0.293237,London,https://www.sciencefictions.org,Aug 2010,blue
189,Xin Eric Wang,xwang_lk,researcher,CTO & Professor,19843,1340,14,2,12,1,0.083333,0,0,0,0,1.25976,0.060305,0.375,0.00111891,0.370145,0.292685,"Santa Barbara, CA",https://eric-xw.github.io,Feb 2012,blue
190,Mike Krieger,mikeyk,founder,Co-founder of Instagram,457345,266,7,2,5,1,0.2,0,0,0,0,1.126023,0.0538,0.125,0.00214763,0.371553,0.292114,"37.760571,-122.387567",https://www.anthropic.com/careers,Nov 2006,blue
191,Yuhuai (Tony) Wu,Yuhu_ai_,founder,Co-founder,45774,460,25,11,14,0,0.0,0,0,0,0,0.993833,0.04737,0.25,0.00330901,0.372829,0.291464,Stanford,https://yuhuaiwu.github.io/,Jul 2017,
192,Dileep George,dileeplearning,researcher,AI Researcher,14834,1409,17,3,14,0,0.0,0,0,0,0,0.776876,0.036816,0.5,0.00085079,0.376189,0.291346,"San Francisco, CA",http://dileeplearning.com,Jun 2017,blue
193,Qian Huang,qhwang3,researcher,,13818,331,25,1,24,0,0.0,0,0,0,0,1.035707,0.049406,0.125,0.0006351,0.371101,0.290677,"Palo Alto, CA",https://q-hwang.github.io/,Mar 2017,blue
194,sunny madra,sundeep,company,Nvidia,37748,5320,11,4,7,2,0.285714,0,0,0,0,1.501283,0.072053,0.0,0.00182686,0.363445,0.290597,👨🏽‍💻,,Oct 2009,blue
195,Rishabh Agarwal,agarwl_,company,Meta,20273,828,18,3,15,1,0.066667,0,0,0,0,1.46415,0.070247,0.125,0.00106633,0.362272,0.289266,"Montréal, Canada",https://agarwl.github.io,May 2016,blue
196,Unsloth AI,UnslothAI,company,LLM Fine-tuning Tools,42291,448,7,4,3,1,0.333333,0,0,0,0,0.931695,0.044347,0.25,0.0012863,0.370767,0.289162,"San Francisco, CA",http://unsloth.ai,Nov 2023,blue
197,Chris,chatgpt21,founder,"Agi 2029 - Applied in RL, CL, and generalization",33496,1072,8,6,2,1,0.5,0,0,0,0,0.793016,0.037601,0.0,0.00166941,0.372962,0.289122,,https://www.asciibench.com/,Jan 2023,blue
198,Nick Turley,nickaturley,founder,vp & head of @chatgptapp,27562,898,19,6,13,1,0.076923,0,0,0,0,1.307536,0.062629,0.125,0.00258951,0.364549,0.289069,"San Francisco, CA",,Mar 2013,blue
199,Melanie Mitchell,MelMitchell1,researcher,Professor at Santa Fe Institute,49653,671,17,6,11,1,0.090909,0,0,0,0,1.39096,0.066687,0.125,0.00113008,0.362965,0.288895,"Santa Fe, NM",http://melaniemitchell.me,Sep 2011,
200,alphaXiv,askalphaxiv,company,AI Research Platform,32646,44,14,9,5,1,0.2,0,0,0,0,1.062843,0.050726,0.25,0.00186709,0.368142,0.288788,,http://alphaxiv.org,Nov 2023,blue
201,William Fedus,LiamFedus,company,Co-founder at OpenAI,32714,1156,20,4,16,0,0.0,0,0,0,0,1.357319,0.06505,0.125,0.00098769,0.362659,0.288257,"San Francisco, CA",http://acsweb.ucsd.edu/~wfedus/,Oct 2012,blue
202,Alexander Embiricos,embirico,founder,OpenAI,23943,1025,13,8,5,1,0.2,0,0,0,0,1.311198,0.062807,0.125,0.00285755,0.363388,0.288243,"San Francisco, CA",,Nov 2011,blue
203,pash,pashmerepat,founder,openai,14407,597,12,6,6,1,0.166667,0,0,0,0,1.229506,0.058833,0.25,0.00215144,0.364109,0.28779,sf,,Oct 2015,blue
204,Michele Catasta,pirroh,founder,President & Head of AI @Replit,13286,246,18,2,16,1,0.0625,0,0,0,0,1.406212,0.067429,0.125,0.00073926,0.361215,0.287768,"SF Bay Area, CA",https://pirroh.fyi,Feb 2009,blue
205,sam mcallister,sammcallister,founder,some people call me smca,19295,995,5,3,2,1,0.5,0,0,0,0,0.821396,0.038982,0.0,0.00208609,0.370369,0.287522,london,https://smca.io,Sep 2009,blue
206,Josh Woodward,joshwoodward,company,Google,48861,764,13,9,4,1,0.25,0,0,0,0,1.21297,0.058029,0.0,0.00310533,0.363927,0.287452,,,Oct 2010,blue
207,NVIDIA Japan,NVIDIAJapan,company,NVIDIA Japan,43620,230,8,4,4,1,0.25,0,0,0,0,1.504738,0.072221,0.0,0.0014432,0.35902,0.287321,東京都港区赤坂,http://www.nvidia.co.jp/,Oct 2010,blue
208,Emad,EMostaque,founder,Founder at Stability AI,307482,30,18,16,2,0,0.0,0,0,0,0,0.677184,0.031967,0.25,0.00317949,0.372397,0.287289,London,http://ii.inc,Nov 2011,blue
209,Logan Kilpatrick,OfficialLoganK,founder,Developer Relations at Google,271055,2902,19,12,7,0,0.0,0,0,0,0,0.917295,0.043647,0.125,0.00292372,0.368044,0.286945,Lkilpatrick@google.com,https://logank.ai,Apr 2011,blue
210,Arena.ai,arena,company,AI Platform,127171,208,12,4,8,1,0.125,0,0,0,0,1.067105,0.050934,0.125,0.00142121,0.363792,0.285577,US,https://arena.ai,Mar 2023,blue
211,Geoffrey Hinton,geoffreyhinton,researcher,Godfather of Deep Learning,547323,28,15,7,8,0,0.0,0,0,0,0,0.469096,0.021845,0.25,0.00183413,0.373075,0.285267,,,Jan 2019,blue
212,NVIDIA SHIELD,NVIDIASHIELD,company,NVIDIA SHIELD,66805,378,9,3,6,1,0.166667,0,0,0,0,1.458196,0.069957,0.0,0.00101983,0.356857,0.285132,"California, USA",http://shield.nvidia.com,Jul 2014,
213,heiner,HeinrichKuttler,researcher,DeepMind,19775,1174,21,4,17,0,0.0,0,0,0,0,0.804363,0.038153,0.25,0.00134183,0.367079,0.284848,"Palo Alto, CA",https://heiner.ai,May 2020,blue
214,"Derya Unutmaz, MD",DeryaTR_,researcher,Professor,333650,7757,6,6,0,0,0.0,0,0,0,0,0.151881,0.006415,0.5,0.00184478,0.377609,0.284811,"Connecticut, USA",,Feb 2020,blue
215,NVIDIA AI Japan,NVIDIAAIJP,company,NVIDIA AI Japan,11812,166,7,3,4,1,0.25,0,0,0,0,1.347894,0.064592,0.125,0.00112276,0.358154,0.284764,東京都港区赤坂,http://www.nvidia.co.jp/object/deep-learning-jp.html,Nov 2016,blue
216,"Zeyuan Allen-Zhu, Sc.D.",ZeyuanAllenZhu,founder,Meta,25291,531,16,4,12,1,0.083333,0,0,0,0,1.133275,0.054152,0.125,0.00204919,0.361246,0.284472,,http://zeyuan.allen-zhu.com,Apr 2010,blue
217,Caitlin Kalinowski,kalinowski007,founder,OpenAI,13114,1399,12,4,8,1,0.125,0,0,0,0,0.99279,0.047319,0.25,0.00223883,0.362337,0.283582,,https://openai.com/careers/,Aug 2012,blue
218,Subbarao Kambhampati (కంభంపాటి సుబ్బారావు),rao2z,researcher,Professor at ASU,26892,57,15,2,13,0,0.0,0,0,0,0,0.676287,0.031923,0.375,0.00070402,0.367246,0.283415,"Tempe, AZ",http://rakaposhi.eas.asu.edu,Oct 2014,blue
219,Dario Amodei,DarioAmodei,founder,CEO at Anthropic,159658,0,18,18,0,0,0.0,0,0,0,0,0.606913,0.028549,0.125,0.00614117,0.368316,0.283374,,,Jun 2017,blue
220,NVIDIA GeForce BR,NVIDIAGeForceBR,company,NVIDIA Brazil,98581,248,5,2,3,1,0.333333,0,0,0,0,0.901408,0.042874,0.0,0.0009724,0.363052,0.283008,"Sao Paulo, Brasil",https://linktr.ee/nvidiageforcebr,Dec 2009,blue
221,Omar Khattab,lateinteraction,researcher,Professor at MIT,30119,3254,19,7,12,0,0.0,0,0,0,0,0.696535,0.032908,0.25,0.00296386,0.365792,0.282571,"Cambridge, MA",https://omarkhattab.com/,Dec 2022,blue
222,Rachel Thomas,math_rachel,researcher,Co-founder & Researcher,92747,850,12,2,10,0,0.0,0,0,0,0,0.442303,0.020542,0.375,0.00132285,0.3687,0.281661,"Brisbane, Australia",https://rachel.fast.ai/,May 2013,blue
223,Remi Cadene,RemiCadene,founder,Co-founder & CEO,20680,1027,13,4,9,1,0.111111,0,0,0,0,1.22999,0.058857,0.0,0.0020697,0.354818,0.280828,Paris,http://remicadene.com,Feb 2014,blue
224,Ado,adocomplete,founder,"Community, Claude, Code at @AnthropicAI",21614,1433,11,4,7,1,0.142857,0,0,0,0,1.245857,0.059629,0.0,0.00189816,0.354285,0.280621,Colorado,https://adocomplete.com,Dec 2011,blue
225,Alex Graveley,alexgraveley,founder,CEO,38154,1557,13,2,11,1,0.090909,0,0,0,0,1.137819,0.054373,0.0,0.00106729,0.355213,0.280003,US,https://alexgraveley.com,Jul 2022,blue
226,LeRobot,LeRobotHF,company,Robotics Platform,13975,19,7,1,6,1,0.166667,0,0,0,0,1.132655,0.054122,0.125,0.00081449,0.354245,0.279214,Worldwide,http://github.com/huggingface/lerobot,Jul 2024,blue
227,Steven Johnson,stevenbjohnson,media,Author,1045761,385,8,2,6,0,0.0,0,0,0,0,0.267807,0.012054,0.125,0.00118179,0.367284,0.278476,Brooklyn NY & Marin County CA,https://adjacentpossible.substack.com/about,Mar 2007,blue
228,Alex Dimakis,AlexGDimakis,researcher,Professor at UT Austin,22487,2467,16,5,11,0,0.0,0,0,0,0,0.942258,0.044861,0.125,0.00125925,0.355719,0.278005,"Berkeley, CA",https://people.eecs.berkeley.edu/~alexdimakis/,Apr 2009,blue
229,Ai2,allen_ai,company,AI Research Institute,79402,428,14,3,11,0,0.0,0,0,0,0,0.476258,0.022193,0.25,0.00130064,0.363146,0.277908,"Seattle, WA",http://allenai.org,Sep 2015,
230,Brad Smith,BradSmi,media,Microsoft,102207,910,8,2,6,1,0.166667,0,0,0,0,0.8685,0.041273,0.0,0.00090155,0.356674,0.277824,"Redmond, Washington",https://news.microsoft.com/on-the-issues/,Apr 2008,blue
231,World Labs,theworldlabs,company,AI Research Lab,54125,45,6,2,4,0,0.0,0,0,0,0,0.127904,0.005249,0.5,0.00080429,0.36865,0.2778,"San Francisco, CA",http://worldlabs.ai,Dec 2023,blue
232,Austen Allred,Austen,founder,Founder,445345,1423,9,3,6,0,0.0,0,0,0,0,0.425722,0.019735,0.125,0.00266241,0.363732,0.277733,"Austin, TX",http://gauntletai.com,Dec 2010,blue
233,Sriram Krishnan,sriramk,investor,EIR at a16z,305876,2191,14,12,2,0,0.0,0,0,0,0,0.346123,0.015863,0.125,0.00376708,0.364919,0.277655,,http://sriramk.com,Dec 2006,blue
234,Rohan Paul,rohanpaul_ai,media,AI Content Creator,132690,7719,16,8,8,0,0.0,0,0,0,0,0.594687,0.027954,0.125,0.0018297,0.360881,0.277649,Ex Inv Banking (Deutsche),http://www.rohan-paul.com,Jun 2014,blue
235,April C Wright,aprilwright,founder,"The Infosec Diplomat, Absurdist Polymath",18467,4685,5,1,4,1,0.25,0,0,0,0,0.810475,0.038451,0.125,0.0006736,0.356633,0.277088,@aprilwright@infosec.exchange,http://architectsecurity.org,Jul 2008,blue
236,Palmer Luckey,PalmerLuckey,founder,Founder at Anduril,620679,1941,12,9,3,0,0.0,0,0,0,0,0.369824,0.017016,0.0,0.00335874,0.363674,0.277009,"Irvine, CA",http://Anduril.com,May 2011,blue
237,Min Choi,minchoi,founder,AI Educator,355116,1263,12,3,9,0,0.0,0,0,0,0,0.383546,0.017684,0.125,0.00135357,0.363107,0.276751,,,Mar 2009,blue
238,Anuj Saharan,anujsaharan_,founder,openai,3442,281,9,2,7,1,0.142857,0,0,0,0,1.020481,0.048666,0.125,0.00108919,0.351547,0.275827,seattle,,Mar 2010,blue
239,WiML,WiMLworkshop,company,Women in ML Workshop,17628,1146,3,3,0,0,0.0,0,0,0,0,0.238363,0.010622,0.5,0.00099892,0.363322,0.275147,,http://wimlworkshop.org,Nov 2014,
240,fofr,fofrAI,founder,Google,53534,1466,11,4,7,0,0.0,0,0,0,0,0.559936,0.026264,0.25,0.00088446,0.358007,0.275071,🪴,http://fofr.ai,Jul 2022,blue
241,Brian Armstrong,brian_armstrong,founder,CEO at Coinbase,1725389,801,1,1,0,0,0.0,0,0,0,0,0.022826,0.000137,0.125,0.00084485,0.366283,0.274747,Earth,https://www.coinbase.com/,Apr 2008,blue
242,Z.ai,Zai_org,company,AI Company,43687,225,13,7,6,0,0.0,0,0,0,0,0.338834,0.015509,0.25,0.00207439,0.359295,0.273348,user_feedback@z.ai,http://z.ai,Nov 2023,
243,Tom Dörr,tom_doerr,founder,,163084,2489,8,4,4,0,0.0,0,0,0,0,0.201134,0.008811,0.25,0.00201711,0.36093,0.2729,,https://tom-doerr.github.io/repo_posts/,Nov 2020,blue
244,Ashok Elluswamy,aelluswamy,founder,Tesla,193748,616,12,7,5,0,0.0,0,0,0,0,0.325816,0.014876,0.125,0.0017209,0.358866,0.272869,,,Nov 2009,blue
245,Yann Dubois,yanndubs,company,OpenAI,11968,1295,17,4,13,0,0.0,0,0,0,0,0.546171,0.025594,0.125,0.00140548,0.355126,0.272743,San Francisco,https://yanndubs.github.io/,Aug 2017,blue
246,Perplexity,perplexity_ai,company,AI Search Engine,380027,66,8,5,3,0,0.0,0,0,0,0,0.232759,0.010349,0.125,0.00127949,0.359153,0.271952,"San Francisco, CA",http://perplexity.ai/comet,Dec 2022,blue
247,Jeff Teper,jeffteper,company,Microsoft,43019,935,13,2,11,0,0.0,0,0,0,0,0.481557,0.022451,0.125,0.00097574,0.354867,0.271763,"Redmond, WA",,May 2009,blue
248,Alexander Wei,alexwei_,researcher,OpenAI,24410,203,7,1,6,0,0.0,0,0,0,0,0.199612,0.008737,0.375,0.00097848,0.359056,0.271476,"San Francisco, CA",https://www.alexwei.org,Mar 2022,blue
249,Alex Albert,alexalbert__,founder,Head of Claude at Anthropic,120305,679,7,6,1,0,0.0,0,0,0,0,0.38591,0.017799,0.125,0.00364482,0.356001,0.271451,San Francisco,https://alexalbert.me/,Apr 2021,blue
250,Anshita Saini,anshitasaini_,founder,openai,13559,422,9,3,6,0,0.0,0,0,0,0,0.483318,0.022537,0.25,0.00193908,0.353808,0.27099,san francisco,https://www.linkedin.com/in/anshita-saini/,Feb 2023,blue
251,Skild AI,SkildAI,company,Robotics AI,13022,0,1,1,0,0,0.0,0,0,0,0,0.031818,0.000575,0.5,0.00084485,0.360916,0.270831,USA,https://www.skild.ai/,Jun 2023,blue
252,Visual Studio Code,code,company,Visual Studio Code,781193,148,3,2,1,0,0.0,0,0,0,0,0.06,0.001946,0.125,0.00096466,0.360395,0.270783,"Redmond, WA, USA",https://code.visualstudio.com,Apr 2015,blue
253,Microsoft Partner,msPartner,company,Microsoft Partner Network,203139,647,6,1,5,0,0.0,0,0,0,0,0.397486,0.018362,0.125,0.00083397,0.354854,0.270731,"Redmond, WA",https://partner.microsoft.com/,Dec 2008,blue
254,kache,yacineMTB,investor,"reinforcement learning, robots",210660,5872,7,6,1,0,0.0,0,0,0,0,0.156145,0.006622,0.125,0.00253552,0.356583,0.269093,Ottawa ⵣ 🇨🇦,http://yacine.ca,Sep 2019,blue
255,kalomaze,kalomaze,researcher,Researcher,22031,2490,5,4,1,0,0.0,0,0,0,0,0.124955,0.005105,0.375,0.00148928,0.357073,0.269081,,,Oct 2020,blue
256,Lianmin Zheng,lm_zheng,founder,Co-founder,15563,646,14,3,11,0,0.0,0,0,0,0,0.660942,0.031177,0.0,0.00080455,0.348336,0.269046,"Bay Area, California",http://lmzheng.net/,Jan 2018,blue
257,NVIDIA GeForce Latinoamérica,NVIDIAGeForceLA,company,NVIDIA Latin America,91804,112,8,2,6,0,0.0,0,0,0,0,0.613189,0.028854,0.0,0.0008476,0.348881,0.268874,,https://linktr.ee/nvidiageforcelat,Jul 2014,blue
258,Rihard Jarc,RihardJarc,media,CTO,72302,2785,7,2,5,0,0.0,0,0,0,0,0.170058,0.007299,0.25,0.00102557,0.355835,0.268701,,https://www.uncoveralpha.com/,Jan 2016,blue
